Cantidad colores: 107	Frecuencia: 0,0021
Cantidad colores: 106	Frecuencia: 0,0066
Cantidad colores: 105	Frecuencia: 0,0286
Cantidad colores: 104	Frecuencia: 0,0879
Cantidad colores: 103	Frecuencia: 0,1583
Cantidad colores: 102	Frecuencia: 0,2225
Cantidad colores: 101	Frecuencia: 0,2227
Cantidad colores: 100	Frecuencia: 0,1541
Cantidad colores: 99	Frecuencia: 0,0803
Cantidad colores: 98	Frecuencia: 0,029
Cantidad colores: 97	Frecuencia: 0,0067
Cantidad colores: 96	Frecuencia: 0,001
Cantidad colores: 95	Frecuencia: 0,0002

Numero Cromatico: 95
