Cantidad colores: 105	Frecuencia: 0,0001
Cantidad colores: 104	Frecuencia: 0,0002
Cantidad colores: 103	Frecuencia: 0,0021
Cantidad colores: 102	Frecuencia: 0,0174
Cantidad colores: 101	Frecuencia: 0,0648
Cantidad colores: 100	Frecuencia: 0,1621
Cantidad colores: 99	Frecuencia: 0,2501
Cantidad colores: 98	Frecuencia: 0,2483
Cantidad colores: 97	Frecuencia: 0,1626
Cantidad colores: 96	Frecuencia: 0,0725
Cantidad colores: 95	Frecuencia: 0,0168
Cantidad colores: 94	Frecuencia: 0,0026
Cantidad colores: 93	Frecuencia: 0,0004

Numero Cromatico: 93
